Sample	Target	Amp_Status	Amp_Score	Ct	Number	Number_status	FLAG	Group
Disease44	Gene11	Inconclusive	1.198	35.724	19	139	Undetermined	Disease
Disease5	Gene11	Inconclusive	1.129	36.124	19	139	Undetermined	Disease
Disease6	Gene11	Inconclusive	1.170	35.422	19	139	Undetermined	Disease
Disease7	Gene11	Inconclusive	1.163	35.793	19	139	Undetermined	Disease
Disease8	Gene11	Inconclusive	1.168	35.748	19	139	Undetermined	Disease
Disease9	Gene11	Inconclusive	1.193	35.210	19	139	Undetermined	Disease
Disease1	Gene12	Amp	1.467	28.179	19	2262	OK	Disease
Disease10	Gene12	Amp	1.443	30.193	19	2262	OK	Disease
Disease12	Gene12	Amp	1.465	29.426	19	2262	OK	Disease
Disease13	Gene12	Amp	1.447	32.464	19	2262	OK	Disease
Disease14	Gene12	Amp	1.447	29.642	19	2262	OK	Disease
Disease15	Gene12	Amp	1.465	30.607	19	2262	OK	Disease
Disease16	Gene12	Amp	1.444	30.709	19	2262	OK	Disease
Disease17	Gene12	Amp	1.454	31.801	19	2262	OK	Disease
Disease18	Gene12	Amp	1.541	26.653	19	2262	OK	Disease
Disease19	Gene12	Amp	1.517	25.692	19	2262	OK	Disease
Disease2	Gene12	Amp	1.437	29.506	19	2262	OK	Disease
Disease22	Gene12	Amp	1.528	20.461	19	2262	OK	Disease
Disease23	Gene12	Amp	1.506	21.091	19	2262	OK	Disease
Disease24	Gene12	Amp	1.521	28.949	19	2262	OK	Disease
Disease25	Gene12	Amp	1.512	25.438	19	2262	OK	Disease
Disease26	Gene12	Amp	1.509	28.345	19	2262	OK	Disease
Disease28	Gene12	Amp	1.533	24.633	19	2262	OK	Disease
Disease29	Gene12	Amp	1.530	25.841	19	2262	OK	Disease
Disease3	Gene12	Amp	1.443	32.356	19	2262	OK	Disease
Disease30	Gene12	Amp	1.510	25.717	19	2262	OK	Disease
Disease31	Gene12	Amp	1.509	17.990	19	2262	OK	Disease
Disease32	Gene12	Amp	1.510	22.821	19	2262	OK	Disease
Disease33	Gene12	Amp	1.540	26.012	19	2262	OK	Disease
Disease34	Gene12	Amp	1.521	26.823	19	2262	OK	Disease
Disease35	Gene12	Amp	1.527	20.637	19	2262	OK	Disease
Disease36	Gene12	Amp	1.541	26.244	19	2262	OK	Disease
Disease37	Gene12	Amp	1.562	26.172	19	2262	OK	Disease
Disease38	Gene12	Amp	1.536	23.977	19	2262	OK	Disease
Disease39	Gene12	Amp	1.543	27.323	19	2262	OK	Disease
Disease4	Gene12	Amp	1.435	33.214	19	2262	OK	Disease
Disease40	Gene12	Amp	1.540	26.635	19	2262	OK	Disease
Disease41	Gene12	Amp	1.458	32.805	19	2262	OK	Disease
Disease42	Gene12	Amp	1.441	28.816	19	2262	OK	Disease
Disease43	Gene12	Amp	1.452	28.884	19	2262	OK	Disease
Disease44	Gene12	Amp	1.466	28.021	19	2262	OK	Disease
Disease5	Gene12	Amp	1.437	30.786	19	2262	OK	Disease
Disease6	Gene12	Amp	1.417	24.810	19	2262	OK	Disease
Disease7	Gene12	Amp	1.452	31.395	19	2262	OK	Disease
Disease8	Gene12	Amp	1.429	29.242	19	2262	OK	Disease
Disease9	Gene12	Amp	1.463	32.393	19	2262	OK	Disease
Disease1	Gene13	Amp	1.330	28.227	19	2262	OK	Disease
Disease10	Gene13	Amp	1.326	30.466	19	2262	OK	Disease
Disease12	Gene13	Amp	1.316	29.889	19	2262	OK	Disease
Disease13	Gene13	Amp	1.329	33.008	19	2262	OK	Disease
Disease14	Gene13	Amp	1.313	29.817	19	2262	OK	Disease
Disease15	Gene13	Amp	1.308	31.256	19	2262	OK	Disease
Disease16	Gene13	Amp	1.311	32.053	19	2262	OK	Disease
Disease17	Gene13	Amp	1.302	33.233	19	2262	OK	Disease
Disease18	Gene13	Amp	1.411	26.743	19	2262	OK	Disease
Disease19	Gene13	Amp	1.409	25.996	19	2262	OK	Disease
Disease2	Gene13	Amp	1.347	30.915	19	2262	OK	Disease
Disease22	Gene13	Amp	1.406	29.236	19	2262	OK	Disease
Disease23	Gene13	Amp	1.369	28.831	19	2262	OK	Disease
Disease24	Gene13	Amp	1.350	30.743	19	2262	OK	Disease
Disease25	Gene13	Amp	1.409	30.279	19	2262	OK	Disease
Disease26	Gene13	Amp	1.369	27.708	19	2262	OK	Disease
Disease28	Gene13	Amp	1.361	26.740	19	2262	OK	Disease
Disease29	Gene13	Amp	1.391	26.112	19	2262	OK	Disease
Disease3	Gene13	Amp	1.337	32.459	19	2262	OK	Disease
Disease30	Gene13	Amp	1.421	28.398	19	2262	OK	Disease
Disease31	Gene13	Amp	1.387	26.617	19	2262	OK	Disease
Disease32	Gene13	Amp	1.384	27.245	19	2262	OK	Disease
Disease33	Gene13	Amp	1.416	26.110	19	2262	OK	Disease
Disease34	Gene13	Amp	1.418	28.497	19	2262	OK	Disease
Disease35	Gene13	Amp	1.429	26.949	19	2262	OK	Disease
Disease36	Gene13	Amp	1.394	25.358	19	2262	OK	Disease
Disease37	Gene13	Amp	1.416	25.402	19	2262	OK	Disease
Disease38	Gene13	Amp	1.420	24.790	19	2262	OK	Disease
Disease39	Gene13	Amp	1.393	28.822	19	2262	OK	Disease
Disease4	Gene13	Amp	1.308	31.721	19	2262	OK	Disease
Disease40	Gene13	Amp	1.398	28.001	19	2262	OK	Disease
Disease41	Gene13	Amp	1.316	28.671	19	2262	OK	Disease
Disease42	Gene13	Amp	1.328	29.924	19	2262	OK	Disease
Disease43	Gene13	Amp	1.313	29.082	19	2262	OK	Disease
Disease44	Gene13	Amp	1.301	30.038	19	2262	OK	Disease
Disease5	Gene13	Amp	1.315	30.715	19	2262	OK	Disease
Disease6	Gene13	Amp	1.313	29.472	19	2262	OK	Disease
Disease7	Gene13	Amp	1.296	31.787	19	2262	OK	Disease
Disease8	Gene13	Amp	1.297	31.961	19	2262	OK	Disease
Disease9	Gene13	Amp	1.326	29.717	19	2262	OK	Disease
Disease1	Gene14	Amp	1.447	27.905	19	2262	OK	Disease
Disease10	Gene14	Amp	1.441	28.464	19	2262	OK	Disease
Disease12	Gene14	Amp	1.472	28.120	19	2262	OK	Disease
Disease13	Gene14	Amp	1.431	30.780	19	2262	OK	Disease
Disease14	Gene14	Amp	1.405	30.881	19	2262	OK	Disease
Disease15	Gene14	Amp	1.440	29.749	19	2262	OK	Disease
Disease16	Gene14	Amp	1.424	30.425	19	2262	OK	Disease
Disease17	Gene14	Amp	1.444	29.822	19	2262	OK	Disease
Disease18	Gene14	Amp	1.450	28.189	19	2262	OK	Disease
Disease19	Gene14	Amp	1.481	27.681	19	2262	OK	Disease
Disease2	Gene14	Amp	1.457	27.712	19	2262	OK	Disease
Disease22	Gene14	Amp	1.464	30.036	19	2262	OK	Disease
Disease23	Gene14	Amp	1.475	30.988	19	2262	OK	Disease
Disease24	Gene14	Amp	1.457	31.594	19	2262	OK	Disease
Disease25	Gene14	Amp	1.470	31.212	19	2262	OK	Disease
Disease26	Gene14	Amp	1.454	27.576	19	2262	OK	Disease
Disease28	Gene14	Amp	1.509	27.682	19	2262	OK	Disease
Disease29	Gene14	Amp	1.458	27.384	19	2262	OK	Disease
Disease3	Gene14	Amp	1.431	30.782	19	2262	OK	Disease
Disease30	Gene14	Amp	1.475	30.523	19	2262	OK	Disease
Disease31	Gene14	Amp	1.492	27.948	19	2262	OK	Disease
Disease32	Gene14	Amp	1.473	28.469	19	2262	OK	Disease
Disease33	Gene14	Amp	1.475	27.428	19	2262	OK	Disease
Disease34	Gene14	Amp	1.496	30.006	19	2262	OK	Disease
Disease35	Gene14	Amp	1.486	27.992	19	2262	OK	Disease
Disease36	Gene14	Amp	1.492	26.934	19	2262	OK	Disease
Disease37	Gene14	Amp	1.468	26.537	19	2262	OK	Disease
Disease38	Gene14	Amp	1.507	26.758	19	2262	OK	Disease
Disease39	Gene14	Amp	1.490	28.353	19	2262	OK	Disease
Disease4	Gene14	Amp	1.419	29.890	19	2262	OK	Disease
Disease40	Gene14	Amp	1.496	29.048	19	2262	OK	Disease
Disease41	Gene14	Amp	1.462	29.105	19	2262	OK	Disease
Disease42	Gene14	Amp	1.465	30.067	19	2262	OK	Disease
Disease43	Gene14	Amp	1.465	27.531	19	2262	OK	Disease
Disease44	Gene14	Amp	1.465	29.282	19	2262	OK	Disease
Disease5	Gene14	Amp	1.418	30.729	19	2262	OK	Disease
Disease6	Gene14	Amp	1.427	28.947	19	2262	OK	Disease
Disease7	Gene14	Amp	1.435	30.670	19	2262	OK	Disease
Disease8	Gene14	Amp	1.438	29.683	19	2262	OK	Disease
Disease9	Gene14	Amp	1.446	28.723	19	2262	OK	Disease
Disease1	Gene15	Amp	1.425	30.048	19	2262	OK	Disease
Disease10	Gene15	Amp	1.418	31.239	19	2262	OK	Disease
Disease12	Gene15	Amp	1.422	31.990	19	2262	OK	Disease
Disease13	Gene15	Amp	1.441	32.096	19	2262	OK	Disease
Disease14	Gene15	Amp	1.396	29.436	19	2262	OK	Disease
Disease15	Gene15	Amp	1.420	31.263	19	2262	OK	Disease
Disease16	Gene15	Amp	1.422	31.051	19	2262	OK	Disease
Disease17	Gene15	Amp	1.414	32.470	19	2262	OK	Disease
Disease18	Gene15	Amp	1.457	29.848	19	2262	OK	Disease
Disease19	Gene15	Amp	1.469	31.189	19	2262	OK	Disease
Disease2	Gene15	Amp	1.420	30.169	19	2262	OK	Disease
Disease22	Gene15	Amp	1.469	27.488	19	2262	OK	Disease
Disease23	Gene15	Amp	1.456	26.899	19	2262	OK	Disease
Disease24	Gene15	Amp	1.417	32.710	19	2262	OK	Disease
Disease25	Gene15	Amp	1.441	31.056	19	2262	OK	Disease
Disease26	Gene15	Amp	1.438	30.506	19	2262	OK	Disease
Disease28	Gene15	Amp	1.441	30.020	19	2262	OK	Disease
Disease29	Gene15	Amp	1.444	28.662	19	2262	OK	Disease
Disease3	Gene15	Amp	1.413	31.458	19	2262	OK	Disease
Disease30	Gene15	Amp	1.468	28.736	19	2262	OK	Disease
Disease31	Gene15	Amp	1.455	25.900	19	2262	OK	Disease
Disease32	Gene15	Amp	1.465	29.232	19	2262	OK	Disease
Disease33	Gene15	Amp	1.449	29.121	19	2262	OK	Disease
Disease34	Gene15	Amp	1.500	30.149	19	2262	OK	Disease
Disease35	Gene15	Amp	1.463	26.361	19	2262	OK	Disease
Disease36	Gene15	Amp	1.484	28.529	19	2262	OK	Disease
Disease37	Gene15	Amp	1.470	28.891	19	2262	OK	Disease
Disease38	Gene15	Amp	1.456	26.624	19	2262	OK	Disease
Disease39	Gene15	Amp	1.477	30.426	19	2262	OK	Disease
Disease4	Gene15	Amp	1.422	32.103	19	2262	OK	Disease
Disease40	Gene15	Amp	1.465	30.730	19	2262	OK	Disease
Disease41	Gene15	Amp	1.488	28.992	19	2262	OK	Disease
Disease42	Gene15	Amp	1.422	29.436	19	2262	OK	Disease
Disease43	Gene15	Amp	1.432	30.866	19	2262	OK	Disease
Disease44	Gene15	Amp	1.436	31.693	19	2262	OK	Disease
Disease5	Gene15	Amp	1.413	33.110	19	2262	OK	Disease
Disease6	Gene15	Amp	1.406	28.651	19	2262	OK	Disease
Disease7	Gene15	Amp	1.424	31.467	19	2262	OK	Disease
Disease8	Gene15	Amp	1.434	31.653	19	2262	OK	Disease
Disease9	Gene15	Amp	1.415	30.641	19	2262	OK	Disease
Disease1	Gene16	Amp	1.469	21.691	19	2262	OK	Disease
Disease10	Gene16	Amp	1.460	22.493	19	2262	OK	Disease
Disease12	Gene16	Amp	1.462	23.580	19	2262	OK	Disease
Disease13	Gene16	Amp	1.469	24.461	19	2262	OK	Disease
Disease14	Gene16	Amp	1.430	22.741	19	2262	OK	Disease
Disease15	Gene16	Amp	1.448	23.971	19	2262	OK	Disease
Disease16	Gene16	Amp	1.460	23.443	19	2262	OK	Disease
Disease17	Gene16	Amp	1.452	24.294	19	2262	OK	Disease
Disease18	Gene16	Amp	1.469	22.928	19	2262	OK	Disease
Disease19	Gene16	Amp	1.476	22.091	19	2262	OK	Disease
Disease2	Gene16	Amp	1.461	22.332	19	2262	OK	Disease
Disease22	Gene16	Amp	1.483	23.414	19	2262	OK	Disease
Disease23	Gene16	Amp	1.493	23.691	19	2262	OK	Disease
Disease24	Gene16	Amp	1.472	25.560	19	2262	OK	Disease
Disease25	Gene16	Amp	1.492	25.737	19	2262	OK	Disease
Disease26	Gene16	Amp	1.488	22.528	19	2262	OK	Disease
Disease28	Gene16	Amp	1.446	22.034	19	2262	OK	Disease
Disease29	Gene16	Amp	1.473	20.620	19	2262	OK	Disease
Disease3	Gene16	Amp	1.411	24.104	19	2262	OK	Disease
Disease30	Gene16	Amp	1.485	23.812	19	2262	OK	Disease
Disease31	Gene16	Amp	1.485	21.042	19	2262	OK	Disease
Disease32	Gene16	Amp	1.479	22.497	19	2262	OK	Disease
Disease33	Gene16	Amp	1.481	21.006	19	2262	OK	Disease
Disease34	Gene16	Amp	1.489	22.818	19	2262	OK	Disease
Disease35	Gene16	Amp	1.494	20.847	19	2262	OK	Disease
Disease36	Gene16	Amp	1.541	20.162	19	2262	OK	Disease
Disease37	Gene16	Amp	1.476	20.963	19	2262	OK	Disease
Disease38	Gene16	Amp	1.514	19.997	19	2262	OK	Disease
Disease39	Gene16	Amp	1.504	22.551	19	2262	OK	Disease
Disease4	Gene16	Amp	1.448	23.271	19	2262	OK	Disease
Disease40	Gene16	Amp	1.493	22.867	19	2262	OK	Disease
Disease41	Gene16	Amp	1.493	21.658	19	2262	OK	Disease
Disease42	Gene16	Amp	1.459	23.732	19	2262	OK	Disease
Disease43	Gene16	Amp	1.455	22.849	19	2262	OK	Disease
Disease44	Gene16	Amp	1.472	24.810	19	2262	OK	Disease
Disease5	Gene16	Amp	1.433	25.119	19	2262	OK	Disease
Disease6	Gene16	Amp	1.440	22.194	19	2262	OK	Disease
Disease7	Gene16	Amp	1.468	23.467	19	2262	OK	Disease
Disease8	Gene16	Amp	1.453	23.643	19	2262	OK	Disease
Disease9	Gene16	Amp	1.445	22.883	19	2262	OK	Disease
Disease1	Gene17	Amp	1.308	26.272	19	2262	OK	Disease
Disease10	Gene17	Amp	1.313	27.116	19	2262	OK	Disease
Disease12	Gene17	Amp	1.318	27.622	19	2262	OK	Disease
Disease13	Gene17	Amp	1.325	28.483	19	2262	OK	Disease
Disease14	Gene17	Amp	1.294	27.626	19	2262	OK	Disease
Disease15	Gene17	Amp	1.321	27.648	19	2262	OK	Disease
Disease16	Gene17	Amp	1.317	27.876	19	2262	OK	Disease
Disease17	Gene17	Amp	1.303	28.174	19	2262	OK	Disease
Disease18	Gene17	Amp	1.338	26.514	19	2262	OK	Disease
Disease19	Gene17	Amp	1.337	27.548	19	2262	OK	Disease
Disease2	Gene17	Amp	1.291	27.450	19	2262	OK	Disease
Disease22	Gene17	Amp	1.363	26.332	19	2262	OK	Disease
Disease23	Gene17	Amp	1.348	28.455	19	2262	OK	Disease
Disease24	Gene17	Amp	1.291	28.893	19	2262	OK	Disease
Disease25	Gene17	Amp	1.336	29.132	19	2262	OK	Disease
Disease26	Gene17	Amp	1.304	27.017	19	2262	OK	Disease
Disease28	Gene17	Amp	1.319	26.116	19	2262	OK	Disease
Disease29	Gene17	Amp	1.342	25.176	19	2262	OK	Disease
Disease3	Gene17	Amp	1.319	29.103	19	2262	OK	Disease
Disease30	Gene17	Amp	1.311	28.229	19	2262	OK	Disease
Disease31	Gene17	Amp	1.335	25.281	19	2262	OK	Disease
Disease32	Gene17	Amp	1.316	26.606	19	2262	OK	Disease
Disease33	Gene17	Amp	1.341	25.055	19	2262	OK	Disease
Disease34	Gene17	Amp	1.329	28.062	19	2262	OK	Disease
Disease35	Gene17	Amp	1.331	24.936	19	2262	OK	Disease
Disease36	Gene17	Amp	1.349	25.334	19	2262	OK	Disease
Disease37	Gene17	Amp	1.348	26.187	19	2262	OK	Disease
Disease38	Gene17	Amp	1.364	24.447	19	2262	OK	Disease
Disease39	Gene17	Amp	1.368	27.124	19	2262	OK	Disease
Disease4	Gene17	Amp	1.309	27.244	19	2262	OK	Disease
Disease40	Gene17	Amp	1.343	27.943	19	2262	OK	Disease
Disease41	Gene17	Amp	1.319	27.137	19	2262	OK	Disease
Disease42	Gene17	Amp	1.329	28.823	19	2262	OK	Disease
Disease43	Gene17	Amp	1.337	26.406	19	2262	OK	Disease
Disease44	Gene17	Amp	1.337	29.328	19	2262	OK	Disease
Disease5	Gene17	Amp	1.540	28.690	19	2262	OK	Disease
Disease6	Gene17	Amp	1.313	26.855	19	2262	OK	Disease
Disease7	Gene17	Amp	1.305	28.681	19	2262	OK	Disease
Disease8	Gene17	Amp	1.330	26.989	19	2262	OK	Disease
Disease9	Gene17	Amp	1.320	27.564	19	2262	OK	Disease
Disease1	Gene18	Amp	1.382	28.165	19	2262	OK	Disease
Disease10	Gene18	Amp	1.404	28.545	19	2262	OK	Disease
Disease12	Gene18	Amp	1.420	29.613	19	2262	OK	Disease
Disease13	Gene18	Amp	1.415	30.154	19	2262	OK	Disease
Disease14	Gene18	Amp	1.389	26.575	19	2262	OK	Disease
Disease15	Gene18	Amp	1.409	29.287	19	2262	OK	Disease
Disease16	Gene18	Amp	1.438	28.905	19	2262	OK	Disease
Disease17	Gene18	Amp	1.424	29.862	19	2262	OK	Disease
Disease18	Gene18	Amp	1.436	27.967	19	2262	OK	Disease
Disease19	Gene18	Amp	1.454	27.779	19	2262	OK	Disease
Disease2	Gene18	Amp	1.338	30.083	19	2262	OK	Disease
Disease22	Gene18	Amp	1.462	26.631	19	2262	OK	Disease
Disease23	Gene18	Amp	1.436	27.834	19	2262	OK	Disease
Disease24	Gene18	Amp	1.457	31.135	19	2262	OK	Disease
Disease25	Gene18	Amp	1.466	28.991	19	2262	OK	Disease
Disease26	Gene18	Amp	1.446	28.743	19	2262	OK	Disease
Disease28	Gene18	Amp	1.431	27.410	19	2262	OK	Disease
Disease29	Gene18	Amp	1.436	27.431	19	2262	OK	Disease
Disease3	Gene18	Amp	1.406	29.432	19	2262	OK	Disease
Disease30	Gene18	Amp	1.443	28.030	19	2262	OK	Disease
Disease31	Gene18	Amp	1.452	25.592	19	2262	OK	Disease
Disease32	Gene18	Amp	1.452	27.622	19	2262	OK	Disease
Disease33	Gene18	Amp	1.475	28.036	19	2262	OK	Disease
Disease34	Gene18	Amp	1.439	29.474	19	2262	OK	Disease
Disease35	Gene18	Amp	1.466	26.887	19	2262	OK	Disease
Disease36	Gene18	Amp	1.456	26.879	19	2262	OK	Disease
Disease37	Gene18	Amp	1.446	28.048	19	2262	OK	Disease
Disease38	Gene18	Amp	1.468	26.307	19	2262	OK	Disease
Disease39	Gene18	Amp	1.469	28.610	19	2262	OK	Disease
Disease4	Gene18	Amp	1.422	29.898	19	2262	OK	Disease
Disease40	Gene18	Amp	1.470	29.338	19	2262	OK	Disease
Disease41	Gene18	Amp	1.455	27.937	19	2262	OK	Disease
Disease42	Gene18	Amp	1.423	29.378	19	2262	OK	Disease
Disease43	Gene18	Amp	1.411	28.878	19	2262	OK	Disease
Disease44	Gene18	Amp	1.431	30.424	19	2262	OK	Disease
Disease5	Gene18	Amp	1.399	30.447	19	2262	OK	Disease
Disease6	Gene18	Amp	1.423	27.769	19	2262	OK	Disease
Disease7	Gene18	Amp	1.424	29.402	19	2262	OK	Disease
Disease8	Gene18	Amp	1.420	29.386	19	2262	OK	Disease
Disease9	Gene18	Amp	1.425	28.962	19	2262	OK	Disease
Disease1	Gene19	Amp	1.500	28.263	19	2262	OK	Disease
Disease10	Gene19	Amp	1.498	27.358	19	2262	OK	Disease
Disease12	Gene19	Amp	1.480	28.867	19	2262	OK	Disease
Disease13	Gene19	Amp	1.502	29.951	19	2262	OK	Disease
Disease14	Gene19	Amp	1.454	29.459	19	2262	OK	Disease
Disease15	Gene19	Amp	1.493	29.018	19	2262	OK	Disease
Disease16	Gene19	Amp	1.488	28.959	19	2262	OK	Disease
Disease17	Gene19	Amp	1.525	28.763	19	2262	OK	Disease
Disease18	Gene19	Amp	1.522	27.735	19	2262	OK	Disease
Disease19	Gene19	Amp	1.508	27.325	19	2262	OK	Disease
Disease2	Gene19	Amp	1.472	27.947	19	2262	OK	Disease
Disease22	Gene19	Amp	1.541	29.077	19	2262	OK	Disease
Disease23	Gene19	Amp	1.519	30.415	19	2262	OK	Disease
Disease24	Gene19	Amp	1.527	31.039	19	2262	OK	Disease
Disease25	Gene19	Amp	1.534	29.690	19	2262	OK	Disease
Disease26	Gene19	Amp	1.517	27.540	19	2262	OK	Disease
Disease28	Gene19	Amp	1.488	28.254	19	2262	OK	Disease
Disease29	Gene19	Amp	1.490	27.203	19	2262	OK	Disease
Disease3	Gene19	Amp	1.493	29.266	19	2262	OK	Disease
Disease30	Gene19	Amp	1.526	29.804	19	2262	OK	Disease
Disease31	Gene19	Amp	1.530	27.999	19	2262	OK	Disease
Disease32	Gene19	Amp	1.506	28.189	19	2262	OK	Disease
Disease33	Gene19	Amp	1.525	26.520	19	2262	OK	Disease
Disease34	Gene19	Amp	1.553	28.837	19	2262	OK	Disease
Disease35	Gene19	Amp	1.520	27.584	19	2262	OK	Disease
Disease36	Gene19	Amp	1.537	26.524	19	2262	OK	Disease
Disease37	Gene19	Amp	1.511	26.558	19	2262	OK	Disease
Disease38	Gene19	Amp	1.533	26.054	19	2262	OK	Disease
Disease39	Gene19	Amp	1.514	28.112	19	2262	OK	Disease
Disease4	Gene19	Amp	1.483	28.391	19	2262	OK	Disease
Disease40	Gene19	Amp	1.531	29.138	19	2262	OK	Disease
Disease41	Gene19	Amp	1.519	27.208	19	2262	OK	Disease
Disease42	Gene19	Amp	1.507	29.554	19	2262	OK	Disease
Disease43	Gene19	Amp	1.501	27.926	19	2262	OK	Disease
Disease44	Gene19	Amp	1.545	29.693	19	2262	OK	Disease
Disease5	Gene19	No Amp	0.000	Undetermined	19	487	Undetermined	Disease
Disease6	Gene19	Amp	1.484	28.062	19	2262	OK	Disease
Disease7	Gene19	Amp	1.486	29.479	19	2262	OK	Disease
Disease8	Gene19	Amp	1.482	29.475	19	2262	OK	Disease
Disease9	Gene19	Amp	1.485	28.246	19	2262	OK	Disease
Disease1	Gene20	Amp	1.433	32.725	19	2262	OK	Disease
Disease10	Gene20	Amp	1.542	32.886	19	2262	OK	Disease
Disease12	Gene20	Amp	1.460	31.011	19	2262	OK	Disease
Disease13	Gene20	Amp	1.390	35.868	19	2262	Undetermined	Disease
Disease14	Gene20	Amp	1.441	32.032	19	2262	OK	Disease
Disease15	Gene20	Amp	1.447	34.362	19	2262	OK	Disease
Disease16	Gene20	Amp	1.423	35.241	19	2262	Undetermined	Disease
Disease17	Gene20	Amp	1.376	35.972	19	2262	Undetermined	Disease
Disease18	Gene20	Amp	1.484	30.864	19	2262	OK	Disease
Disease19	Gene20	Amp	1.499	29.509	19	2262	OK	Disease
Disease2	Gene20	Amp	1.466	34.636	19	2262	OK	Disease
Disease22	Gene20	Amp	1.470	32.482	19	2262	OK	Disease
Disease23	Gene20	Amp	1.463	31.895	19	2262	OK	Disease
Disease24	Gene20	Amp	1.470	34.386	19	2262	OK	Disease
Disease25	Gene20	Amp	1.493	32.888	19	2262	OK	Disease
Disease26	Gene20	Amp	1.501	30.758	19	2262	OK	Disease
Disease28	Gene20	Amp	1.470	30.010	19	2262	OK	Disease
Disease29	Gene20	Amp	1.492	29.839	19	2262	OK	Disease
Disease3	Gene20	Inconclusive	1.387	35.930	19	139	Undetermined	Disease
Disease30	Gene20	Amp	1.511	31.987	19	2262	OK	Disease
Disease31	Gene20	Amp	1.488	30.300	19	2262	OK	Disease
Disease32	Gene20	Amp	1.508	31.329	19	2262	OK	Disease
Disease33	Gene20	Amp	1.473	30.627	19	2262	OK	Disease
Disease34	Gene20	Amp	1.508	32.508	19	2262	OK	Disease
Disease35	Gene20	Amp	1.498	30.774	19	2262	OK	Disease
Disease36	Gene20	Amp	1.481	28.720	19	2262	OK	Disease
Disease37	Gene20	Amp	1.509	29.192	19	2262	OK	Disease
Disease38	Gene20	Amp	1.526	28.878	19	2262	OK	Disease
Disease39	Gene20	Amp	1.515	32.293	19	2262	OK	Disease
Disease4	Gene20	Amp	1.416	34.729	19	2262	OK	Disease
Disease40	Gene20	Amp	1.506	32.024	19	2262	OK	Disease
Disease41	Gene20	Amp	1.578	30.535	19	2262	OK	Disease
Disease42	Gene20	Amp	1.460	32.572	19	2262	OK	Disease
Disease43	Gene20	Amp	1.471	32.749	19	2262	OK	Disease
Disease44	Gene20	Amp	1.476	33.071	19	2262	OK	Disease
Disease5	Gene20	Amp	1.482	33.508	19	2262	OK	Disease
Disease6	Gene20	Amp	1.474	32.800	19	2262	OK	Disease
Disease7	Gene20	Amp	1.460	34.536	19	2262	OK	Disease
Disease8	Gene20	Amp	1.403	34.871	19	2262	OK	Disease
Disease9	Gene20	Amp	1.458	33.375	19	2262	OK	Disease
Control01	Gene1	Amp	1.403	30.402	22	2262	OK	Control
Control02	Gene1	Amp	1.456	33.052	22	2262	OK	Control
Control03	Gene1	Amp	1.425	32.096	22	2262	OK	Control
Control04	Gene1	Amp	1.439	33.941	22	2262	OK	Control
Control05	Gene1	Amp	1.349	35.507	22	2262	Undetermined	Control
Control06	Gene1	Amp	1.443	34.053	22	2262	OK	Control
Control07	Gene1	Amp	1.437	27.941	22	2262	OK	Control
Control08	Gene1	Inconclusive	1.240	36.668	22	139	Undetermined	Control
Control09	Gene1	Amp	1.430	33.073	22	2262	OK	Control
Control11	Gene1	Amp	1.427	34.234	22	2262	OK	Control
Control12	Gene1	Amp	1.426	34.475	22	2262	OK	Control
Control13	Gene1	Amp	1.279	35.976	22	2262	Undetermined	Control
Control14	Gene1	Amp	1.432	32.728	22	2262	OK	Control
Control15	Gene1	Amp	1.429	32.340	22	2262	OK	Control
Control16	Gene1	Amp	1.348	35.647	22	2262	Undetermined	Control
Control17	Gene1	Amp	1.396	34.466	22	2262	OK	Control
Control19	Gene1	Amp	1.428	33.723	22	2262	OK	Control
Control20	Gene1	Amp	1.433	33.068	22	2262	OK	Control
Control21	Gene1	Amp	1.437	34.038	22	2262	OK	Control
Control22	Gene1	Amp	1.361	35.573	22	2262	Undetermined	Control
Control23	Gene1	Amp	1.433	31.314	22	2262	OK	Control
Control24	Gene1	Amp	1.436	33.079	22	2262	OK	Control
Control25	Gene1	Inconclusive	1.371	34.836	22	139	Undetermined	Control
Control26	Gene1	Amp	1.359	34.506	22	2262	OK	Control
Control01	Gene2	No Amp	1.287	34.886	22	487	Undetermined	Control
Control02	Gene2	No Amp	0.000	36.841	22	487	Undetermined	Control
Control03	Gene2	No Amp	1.213	35.774	22	487	Undetermined	Control
Control04	Gene2	No Amp	1.120	36.383	22	487	Undetermined	Control
Control05	Gene2	No Amp	0.000	37.524	22	487	Undetermined	Control
Control06	Gene2	No Amp	1.090	37.094	22	487	Undetermined	Control
Control07	Gene2	No Amp	0.000	36.487	22	487	Undetermined	Control
Control08	Gene2	No Amp	0.776	Undetermined	22	487	Undetermined	Control
Control09	Gene2	No Amp	1.185	35.993	22	487	Undetermined	Control
Control11	Gene2	No Amp	1.125	36.630	22	487	Undetermined	Control
Control12	Gene2	No Amp	0.816	38.793	22	487	Undetermined	Control
Control13	Gene2	No Amp	0.000	37.958	22	487	Undetermined	Control
Control14	Gene2	No Amp	0.988	37.802	22	487	Undetermined	Control
Control15	Gene2	No Amp	1.207	35.834	22	487	Undetermined	Control
Control16	Gene2	No Amp	0.763	Undetermined	22	487	Undetermined	Control
Control17	Gene2	No Amp	1.052	37.410	22	487	Undetermined	Control
Control19	Gene2	No Amp	1.185	35.604	22	487	Undetermined	Control
Control20	Gene2	No Amp	0.785	Undetermined	22	487	Undetermined	Control
Control21	Gene2	No Amp	0.909	38.219	22	487	Undetermined	Control
