Sample	Gene	Ct	Group	FLAG
Control09	FGF23	Undetermined	Control	Undetermined
Control09	FGF23	Undetermined	Control	Undetermined
Control11	FGF23	Undetermined	Control	Undetermined
Control11	FGF23	Undetermined	Control	Undetermined
Control12	FGF23	Undetermined	Control	Undetermined
Control12	FGF23	Undetermined	Control	Undetermined
Control13	FGF23	Undetermined	Control	Undetermined
Control13	FGF23	Undetermined	Control	Undetermined
Control14	FGF23	Undetermined	Control	Undetermined
Control14	FGF23	Undetermined	Control	Undetermined
Control15	FGF23	Undetermined	Control	Undetermined
Control15	FGF23	Undetermined	Control	Undetermined
Control16	FGF23	Undetermined	Control	Undetermined
Control16	FGF23	Undetermined	Control	Undetermined
Control17	FGF23	Undetermined	Control	Undetermined
Control17	FGF23	Undetermined	Control	Undetermined
Control19	FGF23	Undetermined	Control	Undetermined
Control19	FGF23	Undetermined	Control	Undetermined
Control20	FGF23	Undetermined	Control	Undetermined
Control20	FGF23	38	Control	Undetermined
Control21	FGF23	Undetermined	Control	Undetermined
Control21	FGF23	Undetermined	Control	Undetermined
Control22	FGF23	Undetermined	Control	Undetermined
Control22	FGF23	Undetermined	Control	Undetermined
Control23	FGF23	Undetermined	Control	Undetermined
Control23	FGF23	Undetermined	Control	Undetermined
Control24	FGF23	Undetermined	Control	Undetermined
Control24	FGF23	Undetermined	Control	Undetermined
Control25	FGF23	Undetermined	Control	Undetermined
Control25	FGF23	Undetermined	Control	Undetermined
Control26	FGF23	Undetermined	Control	Undetermined
Control26	FGF23	Undetermined	Control	Undetermined
AAA1	GAPDH	21.455	AAA	OK
AAA10	GAPDH	22.896	AAA	OK
AAA12	GAPDH	24.677	AAA	OK
AAA13	GAPDH	23.973	AAA	OK
AAA14	GAPDH	21.586	AAA	OK
AAA15	GAPDH	23.714	AAA	OK
AAA16	GAPDH	23.197	AAA	OK
AAA17	GAPDH	24.71	AAA	OK
AAA18	GAPDH	21.028	AAA	OK
AAA19	GAPDH	19.841	AAA	OK
AAA2	GAPDH	23.536	AAA	OK
AAA22	GAPDH	22.667	AAA	OK
AAA23	GAPDH	22.041	AAA	OK
AAA24	GAPDH	24.492	AAA	OK
AAA25	GAPDH	24.367	AAA	OK
AAA26	GAPDH	22.024	AAA	OK
AAA28	GAPDH	20.829	AAA	OK
AAA29	GAPDH	19.564	AAA	OK
AAA3	GAPDH	24.58	AAA	OK
AAA30	GAPDH	21.499	AAA	OK
AAA31	GAPDH	20.096	AAA	OK
AAA32	GAPDH	21.56	AAA	OK
AAA33	GAPDH	20.051	AAA	OK
AAA34	GAPDH	22.069	AAA	OK
AAA35	GAPDH	20.31	AAA	OK
AAA36	GAPDH	20.479	AAA	OK
AAA37	GAPDH	20.283	AAA	OK
AAA38	GAPDH	18.314	AAA	OK
AAA39	GAPDH	23.639	AAA	OK
AAA4	GAPDH	24.142	AAA	OK
AAA40	GAPDH	22.866	AAA	OK
AAA41	GAPDH	22.233	AAA	OK
AAA42	GAPDH	23.421	AAA	OK
AAA43	GAPDH	22.804	AAA	OK
AAA44	GAPDH	24.807	AAA	OK
AAA5	GAPDH	25.792	AAA	OK
AAA6	GAPDH	22.721	AAA	OK
AAA7	GAPDH	24.089	AAA	OK
AAA8	GAPDH	24.958	AAA	OK
AAA9	GAPDH	23.07	AAA	OK
VV1	GAPDH	24.529	VV	OK
VV10	GAPDH	26.013	VV	OK
VV11	GAPDH	24.877	VV	OK
VV12	GAPDH	25.102	VV	OK
VV14	GAPDH	24.877	VV	OK
VV15	GAPDH	25.029	VV	OK
VV16	GAPDH	23.875	VV	OK
VV17	GAPDH	25.137	VV	OK
VV18	GAPDH	25.125	VV	OK
VV19	GAPDH	24.8	VV	OK
VV2	GAPDH	24.609	VV	OK
VV20	GAPDH	22.105	VV	OK
VV21	GAPDH	25.05	VV	OK
VV22	GAPDH	22.715	VV	OK
VV23	GAPDH	21.672	VV	OK
VV24	GAPDH	20.393	VV	OK
VV25	GAPDH	18.672	VV	OK
VV26	GAPDH	19.88	VV	OK
VV27	GAPDH	19.512	VV	OK
VV29	GAPDH	21.384	VV	OK
VV3	GAPDH	24.571	VV	OK
VV32	GAPDH	21.719	VV	OK
VV33	GAPDH	19.779	VV	OK
VV34	GAPDH	21.668	VV	OK
VV35	GAPDH	24.858	VV	OK
VV36	GAPDH	24.773	VV	OK
VV37	GAPDH	30.123	VV	OK
VV38	GAPDH	28.154	VV	OK
VV39	GAPDH	33.505	VV	OK
VV4	GAPDH	25.447	VV	OK
VV40	GAPDH	29.252	VV	OK
VV41	GAPDH	27.102	VV	OK
VV43	GAPDH	26.616	VV	OK
VV44	GAPDH	34.796	VV	OK
VV45	GAPDH	35.566	VV	Undetermined
VV5	GAPDH	23.11	VV	OK
VV6	GAPDH	24.913	VV	OK
VV7	GAPDH	26.273	VV	OK
VV8	GAPDH	25.425	VV	OK
VV9	GAPDH	23.607	VV	OK
Control01	GAPDH	20.304	Control	OK
Control01	GAPDH	20.575	Control	OK
Control02	GAPDH	22.641	Control	OK
Control02	GAPDH	20.454	Control	OK
Control03	GAPDH	21.572	Control	OK
Control03	GAPDH	22.193	Control	OK
Control04	GAPDH	21.198	Control	OK
Control04	GAPDH	19.606	Control	OK
Control05	GAPDH	23.963	Control	OK
Control05	GAPDH	22.653	Control	OK
Control06	GAPDH	23.206	Control	OK
Control06	GAPDH	22.109	Control	OK
Control07	GAPDH	18.432	Control	OK
Control07	GAPDH	22.5	Control	OK
Control08	GAPDH	26.604	Control	OK
Control08	GAPDH	26.289	Control	OK
Control09	GAPDH	21.502	Control	OK
Control09	GAPDH	21.358	Control	OK
Control11	GAPDH	24.005	Control	OK
Control11	GAPDH	28.576	Control	OK
Control12	GAPDH	23.785	Control	OK
Control12	GAPDH	22.437	Control	OK
Control13	GAPDH	25.106	Control	OK
Control13	GAPDH	24.794	Control	OK
Control14	GAPDH	22.152	Control	OK
Control14	GAPDH	22.54	Control	OK
Control15	GAPDH	22.064	Control	OK
Control15	GAPDH	22.683	Control	OK
Control16	GAPDH	24.962	Control	OK
Control16	GAPDH	25.876	Control	OK
Control17	GAPDH	23.963	Control	OK
Control17	GAPDH	22.583	Control	OK
Control19	GAPDH	21.865	Control	OK
Control19	GAPDH	22.883	Control	OK
Control20	GAPDH	23.391	Control	OK
Control20	GAPDH	23.348	Control	OK
Control21	GAPDH	23.527	Control	OK
Control21	GAPDH	23.057	Control	OK
Control22	GAPDH	22.732	Control	OK
Control22	GAPDH	23.331	Control	OK
Control23	GAPDH	22.09	Control	OK
Control23	GAPDH	22.863	Control	OK
Control24	GAPDH	23.646	Control	OK
Control24	GAPDH	22.792	Control	OK
Control25	GAPDH	23.132	Control	OK
Control25	GAPDH	22.819	Control	OK
Control26	GAPDH	23.33	Control	OK
Control26	GAPDH	21.815	Control	OK
AAA1	IL1A	35.037	AAA	Undetermined
AAA10	IL1A	36.36	AAA	Undetermined
AAA12	IL1A	35.946	AAA	Undetermined
AAA13	IL1A	36.885	AAA	Undetermined
AAA14	IL1A	37.73	AAA	Undetermined
AAA15	IL1A	35.667	AAA	Undetermined
AAA16	IL1A	37.56	AAA	Undetermined
AAA17	IL1A	36.58	AAA	Undetermined
AAA18	IL1A	34.689	AAA	Undetermined
AAA19	IL1A	36.155	AAA	Undetermined
AAA2	IL1A	37.123	AAA	Undetermined
AAA22	IL1A	35.123	AAA	Undetermined
AAA23	IL1A	36.42	AAA	Undetermined
AAA24	IL1A	39.073	AAA	Undetermined
AAA25	IL1A	36.185	AAA	Undetermined
AAA26	IL1A	35.694	AAA	Undetermined
AAA28	IL1A	35.435	AAA	Undetermined
AAA29	IL1A	34.743	AAA	Undetermined
AAA3	IL1A	37.599	AAA	Undetermined
AAA30	IL1A	37.159	AAA	Undetermined
AAA31	IL1A	32.796	AAA	OK
AAA32	IL1A	35.733	AAA	Undetermined
AAA33	IL1A	35.88	AAA	Undetermined
AAA34	IL1A	Undetermined	AAA	Undetermined
AAA35	IL1A	31.571	AAA	OK
AAA36	IL1A	35.298	AAA	Undetermined
AAA37	IL1A	33.722	AAA	OK
AAA38	IL1A	34.385	AAA	Undetermined
AAA39	IL1A	36.953	AAA	Undetermined
AAA4	IL1A	36.374	AAA	Undetermined
AAA40	IL1A	38.071	AAA	Undetermined
AAA41	IL1A	36.456	AAA	Undetermined
AAA42	IL1A	Undetermined	AAA	Undetermined
AAA43	IL1A	35.358	AAA	Undetermined
AAA44	IL1A	38.174	AAA	Undetermined
AAA5	IL1A	Undetermined	AAA	Undetermined
AAA6	IL1A	35.554	AAA	Undetermined
AAA7	IL1A	36.789	AAA	Undetermined
AAA8	IL1A	38.265	AAA	Undetermined
AAA9	IL1A	36.744	AAA	Undetermined
VV1	IL1A	38.624	VV	Undetermined
VV10	IL1A	38.18	VV	Undetermined
VV11	IL1A	36.766	VV	Undetermined
VV12	IL1A	Undetermined	VV	Undetermined
VV14	IL1A	38.273	VV	Undetermined
VV15	IL1A	37.756	VV	Undetermined
VV16	IL1A	36.374	VV	Undetermined
VV17	IL1A	36.533	VV	Undetermined
VV18	IL1A	37.828	VV	Undetermined
VV19	IL1A	36.57	VV	Undetermined
VV2	IL1A	38.591	VV	Undetermined
VV20	IL1A	37.683	VV	Undetermined
VV21	IL1A	37.029	VV	Undetermined
VV22	IL1A	37.765	VV	Undetermined
VV23	IL1A	35.6	VV	Undetermined
VV24	IL1A	36.497	VV	Undetermined
VV25	IL1A	36.287	VV	Undetermined
VV26	IL1A	35.446	VV	Undetermined
VV27	IL1A	34.94	VV	Undetermined
VV29	IL1A	37.821	VV	Undetermined
VV3	IL1A	36.433	VV	Undetermined
VV32	IL1A	36.857	VV	Undetermined
VV33	IL1A	34.845	VV	Undetermined
VV34	IL1A	35.817	VV	Undetermined
VV35	IL1A	37.633	VV	Undetermined
VV36	IL1A	Undetermined	VV	Undetermined
VV37	IL1A	Undetermined	VV	Undetermined
VV38	IL1A	Undetermined	VV	Undetermined
VV39	IL1A	Undetermined	VV	Undetermined
VV4	IL1A	37.14	VV	Undetermined
VV40	IL1A	Undetermined	VV	Undetermined
VV41	IL1A	Undetermined	VV	Undetermined
VV43	IL1A	39.058	VV	Undetermined
VV44	IL1A	Undetermined	VV	Undetermined
VV45	IL1A	Undetermined	VV	Undetermined
VV5	IL1A	36.758	VV	Undetermined
VV6	IL1A	38.38	VV	Undetermined
VV7	IL1A	38.77	VV	Undetermined
VV8	IL1A	38.775	VV	Undetermined
VV9	IL1A	35.977	VV	Undetermined
Control01	IL1A	33.106	Control	OK
Control02	IL1A	35.496	Control	Undetermined
Control03	IL1A	34.242	Control	OK
Control04	IL1A	34.659	Control	Undetermined
Control05	IL1A	37.307	Control	Undetermined
Control06	IL1A	34.396	Control	OK
Control07	IL1A	33.81	Control	OK
Control08	IL1A	Undetermined	Control	Undetermined
Control09	IL1A	35.109	Control	Undetermined
Control11	IL1A	37.184	Control	Undetermined
Control12	IL1A	37.913	Control	Undetermined
Control13	IL1A	Undetermined	Control	Undetermined
Control14	IL1A	36.439	Control	Undetermined
Control15	IL1A	35.96	Control	Undetermined
Control16	IL1A	38.036	Control	Undetermined
Control17	IL1A	35.752	Control	Undetermined
Control19	IL1A	36.868	Control	Undetermined
Control20	IL1A	38.56	Control	Undetermined
Control21	IL1A	36.922	Control	Undetermined
Control22	IL1A	36.95	Control	Undetermined
Control23	IL1A	36.587	Control	Undetermined
Control24	IL1A	Undetermined	Control	Undetermined
Control25	IL1A	39.666	Control	Undetermined
Control26	IL1A	36.291	Control	Undetermined
AAA1	IL1B	26.552	AAA	OK
AAA10	IL1B	27.062	AAA	OK
AAA12	IL1B	26.697	AAA	OK
AAA13	IL1B	27.697	AAA	OK
AAA14	IL1B	26.849	AAA	OK
AAA15	IL1B	26.849	AAA	OK
AAA16	IL1B	25.994	AAA	OK
AAA17	IL1B	27.581	AAA	OK
AAA18	IL1B	25.127	AAA	OK
AAA19	IL1B	27.788	AAA	OK
AAA2	IL1B	27.54	AAA	OK
AAA22	IL1B	24.599	AAA	OK
AAA23	IL1B	24.039	AAA	OK
AAA24	IL1B	28.577	AAA	OK
AAA25	IL1B	27.408	AAA	OK
AAA26	IL1B	27.759	AAA	OK
AAA28	IL1B	24.657	AAA	OK
AAA29	IL1B	24.585	AAA	OK
AAA3	IL1B	29.349	AAA	OK
AAA30	IL1B	24.781	AAA	OK
AAA31	IL1B	23.042	AAA	OK
AAA32	IL1B	26.876	AAA	OK
AAA33	IL1B	26.788	AAA	OK
AAA34	IL1B	28.015	AAA	OK
AAA35	IL1B	22.043	AAA	OK
AAA36	IL1B	23.996	AAA	OK
AAA37	IL1B	25.341	AAA	OK
AAA38	IL1B	23.927	AAA	OK
AAA39	IL1B	26.675	AAA	OK
AAA4	IL1B	27.555	AAA	OK
AAA40	IL1B	26.108	AAA	OK
AAA41	IL1B	27.056	AAA	OK
AAA42	IL1B	26.494	AAA	OK
AAA43	IL1B	25.799	AAA	OK
AAA44	IL1B	28.087	AAA	OK
AAA5	IL1B	29.15	AAA	OK
AAA6	IL1B	25.711	AAA	OK
AAA7	IL1B	28.2	AAA	OK
AAA8	IL1B	26.952	AAA	OK
AAA9	IL1B	27.98	AAA	OK
VV1	IL1B	27.181	VV	OK
VV10	IL1B	28.507	VV	OK
VV11	IL1B	27.113	VV	OK
VV12	IL1B	30.322	VV	OK
VV14	IL1B	28.844	VV	OK
VV15	IL1B	27.788	VV	OK
VV16	IL1B	26.543	VV	OK
VV17	IL1B	27.639	VV	OK
VV18	IL1B	28.183	VV	OK
VV19	IL1B	27.806	VV	OK
VV2	IL1B	28.843	VV	OK
VV20	IL1B	27.707	VV	OK
VV21	IL1B	28.061	VV	OK
VV22	IL1B	26.215	VV	OK
VV23	IL1B	23.682	VV	OK
VV24	IL1B	26.229	VV	OK
VV25	IL1B	25.325	VV	OK
VV26	IL1B	25.066	VV	OK
VV27	IL1B	23.873	VV	OK
VV29	IL1B	26.048	VV	OK
VV3	IL1B	24.885	VV	OK
VV32	IL1B	24.106	VV	OK
VV33	IL1B	25.297	VV	OK
VV34	IL1B	25.582	VV	OK
VV35	IL1B	28.529	VV	OK
VV36	IL1B	26.698	VV	OK
VV37	IL1B	28.239	VV	OK
VV38	IL1B	26.882	VV	OK
VV39	IL1B	30.221	VV	OK
VV4	IL1B	27.941	VV	OK
VV40	IL1B	30.687	VV	OK
VV41	IL1B	29.478	VV	OK
VV43	IL1B	28.455	VV	OK
VV44	IL1B	30.55	VV	OK
VV45	IL1B	32.461	VV	OK
VV5	IL1B	27.494	VV	OK
VV6	IL1B	29.713	VV	OK
VV7	IL1B	29.64	VV	OK
VV8	IL1B	29.529	VV	OK
VV9	IL1B	26.998	VV	OK
Control01	IL1B	24.298	Control	OK
Control02	IL1B	26.532	Control	OK
Control03	IL1B	24.42	Control	OK
Control04	IL1B	24.345	Control	OK
Control05	IL1B	28.339	Control	OK
Control06	IL1B	25.369	Control	OK
Control07	IL1B	22.832	Control	OK
Control08	IL1B	30.892	Control	OK
Control09	IL1B	25.181	Control	OK
Control11	IL1B	28.046	Control	OK
Control12	IL1B	27.624	Control	OK
Control13	IL1B	28.976	Control	OK
Control14	IL1B	25.45	Control	OK
Control15	IL1B	27.237	Control	OK
Control16	IL1B	30.689	Control	OK
Control17	IL1B	26.403	Control	OK
Control19	IL1B	25.237	Control	OK
Control20	IL1B	28.537	Control	OK
Control21	IL1B	28.007	Control	OK
Control22	IL1B	26.988	Control	OK
Control23	IL1B	25.973	Control	OK
Control24	IL1B	30.753	Control	OK
Control25	IL1B	29.686	Control	OK
Control26	IL1B	26.266	Control	OK
AAA1	IL6	36.705	AAA	Undetermined
AAA10	IL6	34.112	AAA	OK
AAA12	IL6	35.402	AAA	Undetermined
AAA13	IL6	37.134	AAA	Undetermined
AAA14	IL6	35.233	AAA	Undetermined
AAA15	IL6	35.135	AAA	Undetermined
AAA16	IL6	36.637	AAA	Undetermined
AAA17	IL6	34.531	AAA	OK
AAA18	IL6	32.6	AAA	OK
AAA19	IL6	31.488	AAA	OK
AAA2	IL6	35.133	AAA	Undetermined
AAA22	IL6	33.173	AAA	OK
AAA23	IL6	32.646	AAA	OK
AAA24	IL6	35.55	AAA	Undetermined
AAA25	IL6	33.747	AAA	OK
AAA26	IL6	32.769	AAA	OK
AAA28	IL6	32.123	AAA	OK
AAA29	IL6	32.918	AAA	OK
AAA3	IL6	37.081	AAA	Undetermined
AAA30	IL6	34.298	AAA	OK
AAA31	IL6	31.369	AAA	OK
AAA32	IL6	32.641	AAA	OK
AAA33	IL6	31.34	AAA	OK
AAA34	IL6	34.296	AAA	OK
AAA35	IL6	33.023	AAA	OK
AAA36	IL6	30.882	AAA	OK
AAA37	IL6	31.976	AAA	OK
AAA38	IL6	30.214	AAA	OK
AAA39	IL6	32.449	AAA	OK
AAA4	IL6	36.673	AAA	Undetermined
AAA40	IL6	34.685	AAA	Undetermined
AAA41	IL6	30.664	AAA	OK
AAA42	IL6	36.948	AAA	Undetermined
AAA43	IL6	34.369	AAA	OK
AAA44	IL6	35.724	AAA	Undetermined
AAA5	IL6	36.124	AAA	Undetermined
AAA6	IL6	35.422	AAA	Undetermined
AAA7	IL6	35.793	AAA	Undetermined
AAA8	IL6	35.748	AAA	Undetermined
AAA9	IL6	35.21	AAA	Undetermined
VV1	IL6	36.42	VV	Undetermined
VV10	IL6	35.678	VV	Undetermined
VV11	IL6	35.73	VV	Undetermined
VV12	IL6	35.866	VV	Undetermined
VV14	IL6	36.642	VV	Undetermined
VV15	IL6	38.175	VV	Undetermined
VV16	IL6	36.425	VV	Undetermined
VV17	IL6	35.616	VV	Undetermined
VV18	IL6	36.296	VV	Undetermined
VV19	IL6	37.081	VV	Undetermined
VV2	IL6	36.445	VV	Undetermined
VV20	IL6	36.537	VV	Undetermined
VV21	IL6	35.647	VV	Undetermined
VV22	IL6	33.613	VV	OK
VV23	IL6	33.648	VV	OK
VV24	IL6	34.698	VV	OK
VV25	IL6	34.423	VV	OK
VV26	IL6	31.348	VV	OK
VV27	IL6	32.491	VV	OK
VV29	IL6	34.545	VV	OK
VV3	IL6	36.95	VV	Undetermined
VV32	IL6	32.742	VV	OK
VV33	IL6	33.167	VV	OK
VV34	IL6	32.289	VV	OK
VV35	IL6	33.434	VV	OK
VV36	IL6	34.574	VV	OK
VV37	IL6	35.293	VV	Undetermined
VV38	IL6	38.494	VV	Undetermined
VV39	IL6	36.959	VV	Undetermined
VV4	IL6	38.327	VV	Undetermined
VV40	IL6	37.452	VV	Undetermined
VV41	IL6	35.23	VV	Undetermined
VV43	IL6	36.791	VV	Undetermined
VV44	IL6	36.882	VV	Undetermined
VV45	IL6	37.236	VV	Undetermined
VV5	IL6	35.98	VV	Undetermined
VV6	IL6	38	VV	Undetermined
VV7	IL6	38.056	VV	Undetermined
VV8	IL6	37.259	VV	Undetermined
VV9	IL6	34.619	VV	OK
Control01	IL6	31.023	Control	OK
Control02	IL6	34.949	Control	OK
Control03	IL6	33.244	Control	OK
Control04	IL6	35.162	Control	Undetermined
Control05	IL6	37.411	Control	Undetermined
Control06	IL6	36.731	Control	Undetermined
Control07	IL6	32.206	Control	OK
Control08	IL6	36.856	Control	Undetermined
Control09	IL6	35.811	Control	Undetermined
Control11	IL6	35.379	Control	Undetermined
Control12	IL6	34.225	Control	OK
Control13	IL6	36.59	Control	Undetermined
Control14	IL6	33.705	Control	OK
Control15	IL6	34.241	Control	OK
Control16	IL6	36.318	Control	Undetermined
Control17	IL6	34.324	Control	OK
Control19	IL6	34.931	Control	OK
Control20	IL6	37.8	Control	Undetermined
Control21	IL6	36.768	Control	Undetermined
Control22	IL6	36.429	Control	Undetermined
Control23	IL6	34.214	Control	OK
Control24	IL6	37.129	Control	Undetermined
Control25	IL6	38.28	Control	Undetermined
Control26	IL6	37.217	Control	Undetermined
AAA1	IL8	28.179	AAA	OK
AAA10	IL8	30.193	AAA	OK
AAA12	IL8	29.426	AAA	OK
AAA13	IL8	32.464	AAA	OK
AAA14	IL8	29.642	AAA	OK
AAA15	IL8	30.607	AAA	OK
AAA16	IL8	30.709	AAA	OK
AAA17	IL8	31.801	AAA	OK
AAA18	IL8	26.653	AAA	OK
AAA19	IL8	25.692	AAA	OK
AAA2	IL8	29.506	AAA	OK
AAA22	IL8	20.461	AAA	OK
AAA23	IL8	21.091	AAA	OK
AAA24	IL8	28.949	AAA	OK
AAA25	IL8	25.438	AAA	OK
AAA26	IL8	28.345	AAA	OK
AAA28	IL8	24.633	AAA	OK
AAA29	IL8	25.841	AAA	OK
AAA3	IL8	32.356	AAA	OK
AAA30	IL8	25.717	AAA	OK
AAA31	IL8	17.99	AAA	OK
AAA32	IL8	22.821	AAA	OK
AAA33	IL8	26.012	AAA	OK
AAA34	IL8	26.823	AAA	OK
AAA35	IL8	20.637	AAA	OK
AAA36	IL8	26.244	AAA	OK
AAA37	IL8	26.172	AAA	OK
AAA38	IL8	23.977	AAA	OK
AAA39	IL8	27.323	AAA	OK
AAA4	IL8	33.214	AAA	OK
AAA40	IL8	26.635	AAA	OK
AAA41	IL8	32.805	AAA	OK
AAA42	IL8	28.816	AAA	OK
AAA43	IL8	28.884	AAA	OK
AAA44	IL8	28.021	AAA	OK
AAA5	IL8	30.786	AAA	OK
AAA6	IL8	24.81	AAA	OK
AAA7	IL8	31.395	AAA	OK
AAA8	IL8	29.242	AAA	OK
AAA9	IL8	32.393	AAA	OK
VV1	IL8	32.268	VV	OK
VV10	IL8	31.569	VV	OK
VV11	IL8	32.125	VV	OK
VV12	IL8	32.991	VV	OK
VV14	IL8	30.959	VV	OK
VV15	IL8	33.586	VV	OK
VV16	IL8	30.138	VV	OK
VV17	IL8	24.667	VV	OK
VV18	IL8	25.701	VV	OK
VV19	IL8	30.629	VV	OK
VV2	IL8	33.145	VV	OK
VV20	IL8	22.422	VV	OK
VV21	IL8	28.093	VV	OK
VV22	IL8	24.411	VV	OK
VV23	IL8	26.618	VV	OK
VV24	IL8	27.327	VV	OK
VV25	IL8	29.058	VV	OK
VV26	IL8	26.714	VV	OK
VV27	IL8	25.454	VV	OK
VV29	IL8	28.678	VV	OK
VV3	IL8	24.632	VV	OK
VV32	IL8	23.267	VV	OK
VV33	IL8	25.615	VV	OK
VV34	IL8	23.802	VV	OK
VV35	IL8	30.813	VV	OK
VV36	IL8	25.705	VV	OK
VV37	IL8	27.25	VV	OK
VV38	IL8	25.501	VV	OK
VV39	IL8	30.707	VV	OK
VV4	IL8	29.393	VV	OK
VV40	IL8	31.913	VV	OK
VV41	IL8	31.246	VV	OK
VV43	IL8	29.157	VV	OK
VV44	IL8	30.996	VV	OK
VV45	IL8	34.899	VV	OK
VV5	IL8	31.086	VV	OK
VV6	IL8	33.569	VV	OK
VV7	IL8	33.914	VV	OK
VV8	IL8	31.323	VV	OK
VV9	IL8	31.418	VV	OK
Control01	IL8	26.65	Control	OK
Control02	IL8	28.126	Control	OK
Control03	IL8	26.773	Control	OK
Control04	IL8	27.184	Control	OK
Control05	IL8	31.2	Control	OK
Control06	IL8	30.033	Control	OK
Control07	IL8	24.361	Control	OK
Control08	IL8	32.381	Control	OK
Control09	IL8	25.741	Control	OK
Control11	IL8	33.216	Control	OK
Control12	IL8	31.438	Control	OK
Control13	IL8	32.976	Control	OK
Control14	IL8	28.837	Control	OK
Control15	IL8	29.286	Control	OK
Control16	IL8	33.656	Control	OK
Control17	IL8	28.817	Control	OK
Control19	IL8	26.441	Control	OK
Control20	IL8	31.217	Control	OK
Control21	IL8	30.291	Control	OK
Control22	IL8	29.846	Control	OK
Control23	IL8	27.895	Control	OK
Control24	IL8	31.549	Control	OK
Control25	IL8	30.65	Control	OK
Control26	IL8	31.305	Control	OK
AAA1	PDGFA	28.227	AAA	OK
AAA10	PDGFA	30.466	AAA	OK
AAA12	PDGFA	29.889	AAA	OK
AAA13	PDGFA	33.008	AAA	OK
AAA14	PDGFA	29.817	AAA	OK
AAA15	PDGFA	31.256	AAA	OK
AAA16	PDGFA	32.053	AAA	OK
AAA17	PDGFA	33.233	AAA	OK
AAA18	PDGFA	26.743	AAA	OK
AAA19	PDGFA	25.996	AAA	OK
AAA2	PDGFA	30.915	AAA	OK
AAA22	PDGFA	29.236	AAA	OK
AAA23	PDGFA	28.831	AAA	OK
AAA24	PDGFA	30.743	AAA	OK
AAA25	PDGFA	30.279	AAA	OK
AAA26	PDGFA	27.708	AAA	OK
AAA28	PDGFA	26.74	AAA	OK
AAA29	PDGFA	26.112	AAA	OK
AAA3	PDGFA	32.459	AAA	OK
AAA30	PDGFA	28.398	AAA	OK
AAA31	PDGFA	26.617	AAA	OK
AAA32	PDGFA	27.245	AAA	OK
AAA33	PDGFA	26.11	AAA	OK
AAA34	PDGFA	28.497	AAA	OK
AAA35	PDGFA	26.949	AAA	OK
AAA36	PDGFA	25.358	AAA	OK
AAA37	PDGFA	25.402	AAA	OK
AAA38	PDGFA	24.79	AAA	OK
AAA39	PDGFA	28.822	AAA	OK
AAA4	PDGFA	31.721	AAA	OK
AAA40	PDGFA	28.001	AAA	OK
AAA41	PDGFA	28.671	AAA	OK
AAA42	PDGFA	29.924	AAA	OK
AAA43	PDGFA	29.082	AAA	OK
AAA44	PDGFA	30.038	AAA	OK
AAA5	PDGFA	30.715	AAA	OK
AAA6	PDGFA	29.472	AAA	OK
AAA7	PDGFA	31.787	AAA	OK
AAA8	PDGFA	31.961	AAA	OK
AAA9	PDGFA	29.717	AAA	OK
VV1	PDGFA	31.13	VV	OK
VV10	PDGFA	32.999	VV	OK
VV11	PDGFA	32.363	VV	OK
VV12	PDGFA	32.838	VV	OK
VV14	PDGFA	30.128	VV	OK
VV15	PDGFA	32.008	VV	OK
VV16	PDGFA	31.361	VV	OK
VV17	PDGFA	32.831	VV	OK
VV18	PDGFA	31.254	VV	OK
VV19	PDGFA	31.321	VV	OK
VV2	PDGFA	32.589	VV	OK
VV20	PDGFA	30.618	VV	OK
VV21	PDGFA	32.883	VV	OK
VV22	PDGFA	27.276	VV	OK
VV23	PDGFA	30.119	VV	OK
VV24	PDGFA	27.942	VV	OK
VV25	PDGFA	25.111	VV	OK
VV26	PDGFA	25.239	VV	OK
VV27	PDGFA	25.034	VV	OK
VV29	PDGFA	28.862	VV	OK
VV3	PDGFA	30.254	VV	OK
VV32	PDGFA	28.834	VV	OK
VV33	PDGFA	26.628	VV	OK
VV34	PDGFA	26.88	VV	OK
VV35	PDGFA	28.215	VV	OK
VV36	PDGFA	28.673	VV	OK
VV37	PDGFA	31.117	VV	OK
VV38	PDGFA	30.974	VV	OK
VV39	PDGFA	33.881	VV	OK
VV4	PDGFA	32.422	VV	OK
VV40	PDGFA	32.99	VV	OK
VV41	PDGFA	30.442	VV	OK
VV43	PDGFA	30.169	VV	OK
VV44	PDGFA	33.237	VV	OK
VV45	PDGFA	38	VV	Undetermined
VV5	PDGFA	29.332	VV	OK
VV6	PDGFA	31.374	VV	OK
VV7	PDGFA	32.847	VV	OK
VV8	PDGFA	32.531	VV	OK
VV9	PDGFA	30.464	VV	OK
Control01	PDGFA	27.184	Control	OK
Control02	PDGFA	30.141	Control	OK
Control03	PDGFA	28.254	Control	OK
Control04	PDGFA	29.61	Control	OK
Control05	PDGFA	30.498	Control	OK
Control06	PDGFA	30.609	Control	OK
Control07	PDGFA	25.958	Control	OK
Control08	PDGFA	33.224	Control	OK
Control09	PDGFA	28.54	Control	OK
Control11	PDGFA	29.098	Control	OK
Control12	PDGFA	32.302	Control	OK
Control13	PDGFA	33.34	Control	OK
Control14	PDGFA	29.349	Control	OK
Control15	PDGFA	29.588	Control	OK
Control16	PDGFA	32.489	Control	OK
Control17	PDGFA	31.802	Control	OK
Control19	PDGFA	30.745	Control	OK
Control20	PDGFA	28.445	Control	OK
Control21	PDGFA	30.081	Control	OK
